sg	set	trm	hm	xyz
37	3	b,c,a	B b 2 b	x,y,z;-x,y,-z;-x,y+1/2,z;x,y+1/2,-z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
38	1	a,b,c	A m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2
38	2	b,a,-c	B m m 2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x+1/2,y,z-1/2;x+1/2,-y,z-1/2
38	3	c,a,b	B 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2
38	4	-c,b,a	C 2 m m	x,y,z;x,-y,-z;x,-y,z;x,y,-z;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y+1/2,z;x-1/2,y+1/2,-z
38	5	b,c,a	C m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z
38	6	a,-c,b	A m 2 m	x,y,z;-x,y,-z;x,y,-z;-x,y,z;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x,y-1/2,-z+1/2;-x,y-1/2,z+1/2
39	1	a,b,c	A e m 2	x,y,z;-x,-y,z;x,-y+1/2,z;-x,y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y,z+1/2;-x,y,z+1/2
39	2	b,a,-c	B m e 2	x,y,z;-x,-y,z;-x+1/2,y,z;x+1/2,-y,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x,y,z-1/2;x,-y,z-1/2
39	3	c,a,b	B 2 e m	x,y,z;x,-y,-z;x,y,-z+1/2;x,-y,z+1/2;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y,-z;x+1/2,-y,z
39	4	-c,b,a	C 2 m e	x,y,z;x,-y,-z;x,-y+1/2,z;x,y+1/2,-z;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y,z;x-1/2,y,-z
39	5	b,c,a	C m 2 e	x,y,z;-x,y,-z;-x+1/2,y,z;x+1/2,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x,y+1/2,z;x,y+1/2,-z
39	6	a,-c,b	A e 2 m	x,y,z;-x,y,-z;x,y,-z+1/2;-x,y,z+1/2;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x,y-1/2,-z;-x,y-1/2,z
40	1	a,b,c	A m a 2	x,y,z;-x,-y,z;x+1/2,-y,z;-x+1/2,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
40	2	b,a,-c	B b m 2	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x+1/2,y+1/2,z-1/2;x+1/2,-y+1/2,z-1/2
40	3	c,a,b	B 2 m b	x,y,z;x,-y,-z;x,y+1/2,-z;x,-y+1/2,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
40	4	-c,b,a	C 2 c m	x,y,z;x,-y,-z;x,-y,z+1/2;x,y,-z+1/2;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y+1/2,z+1/2;x-1/2,y+1/2,-z+1/2
40	5	b,c,a	C c 2 m	x,y,z;-x,y,-z;-x,y,z+1/2;x,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
40	6	a,-c,b	A m 2 a	x,y,z;-x,y,-z;x+1/2,y,-z;-x+1/2,y,z;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x+1/2,y-1/2,-z+1/2;-x+1/2,y-1/2,z+1/2
41	1	a,b,c	A e a 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y,z+1/2;-x+1/2,y,z+1/2
41	2	b,a,-c	B b e 2	x,y,z;-x,-y,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x,y+1/2,z-1/2;x,-y+1/2,z-1/2
41	3	c,a,b	B 2 e b	x,y,z;x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z
41	4	-c,b,a	C 2 c e	x,y,z;x,-y,-z;x,-y+1/2,z+1/2;x,y+1/2,-z+1/2;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y,z+1/2;x-1/2,y,-z+1/2
41	5	b,c,a	C c 2 e	x,y,z;-x,y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x,y+1/2,z+1/2;x,y+1/2,-z+1/2
41	6	a,-c,b	A e 2 a	x,y,z;-x,y,-z;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x+1/2,y-1/2,-z;-x+1/2,y-1/2,z
42	1	a,b,c	F m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
42	2	c,a,b	F 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
42	3	b,c,a	F m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,y+1/2,-z+1/2;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
43	1	a,b,c	F d d 2	x,y,z;-x,-y,z;x+1/4,-y+1/4,z+1/4;-x+1/4,y+1/4,z+1/4;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/4,-y+3/4,z+3/4;-x+1/4,y+3/4,z+3/4;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+3/4,-y+1/4,z+3/4;-x+3/4,y+1/4,z+3/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+3/4,-y+3/4,z+1/4;-x+3/4,y+3/4,z+1/4
43	2	c,a,b	F 2 d d	x,y,z;x,-y,-z;x+1/4,y+1/4,-z+1/4;x+1/4,-y+1/4,z+1/4;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+3/4,y+1/4,-z+3/4;x+3/4,-y+1/4,z+3/4;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;x+3/4,y+3/4,-z+1/4;x+3/4,-y+3/4,z+1/4;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x+1/4,y+3/4,-z+3/4;x+1/4,-y+3/4,z+3/4
43	3	b,c,a	F d 2 d	x,y,z;-x,y,-z;-x+1/4,y+1/4,z+1/4;x+1/4,y+1/4,-z+1/4;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+3/4,y+3/4,z+1/4;x+3/4,y+3/4,-z+1/4;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x+1/4,y+3/4,z+3/4;x+1/4,y+3/4,-z+3/4;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+3/4,y+1/4,z+3/4;x+3/4,y+1/4,-z+3/4
44	1	a,b,c	I m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
44	2	c,a,b	I 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
44	3	b,c,a	I m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
45	1	a,b,c	I b a 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y,z+1/2;-x,y,z+1/2
45	2	c,a,b	I 2 c b	x,y,z;x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z;x+1/2,-y,z
45	3	b,c,a	I c 2 a	x,y,z;-x,y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,y+1/2,z;x,y+1/2,-z
46	1	a,b,c	I m a 2	x,y,z;-x,-y,z;x+1/2,-y,z;-x+1/2,y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2
46	2	b,a,-c	I b m 2	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y+1/2,z-1/2;-x+1/2,-y+1/2,z-1/2;-x+1/2,y,z-1/2;x+1/2,-y,z-1/2
46	3	c,a,b	I 2 m b	x,y,z;x,-y,-z;x,y+1/2,-z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2
46	4	-c,b,a	I 2 c m	x,y,z;x,-y,-z;x,-y,z+1/2;x,y,-z+1/2;x-1/2,y+1/2,z+1/2;x-1/2,-y+1/2,-z+1/2;x-1/2,-y+1/2,z;x-1/2,y+1/2,-z
46	5	b,c,a	I c 2 m	x,y,z;-x,y,-z;-x,y,z+1/2;x,y,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z
46	6	a,-c,b	I m 2 a	x,y,z;-x,y,-z;x+1/2,y,-z;-x+1/2,y,z;x+1/2,y-1/2,z+1/2;-x+1/2,y-1/2,-z+1/2;x,y-1/2,-z+1/2;-x,y-1/2,z+1/2
47	1	a,b,c	P m m m	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;x,-y,z;-x,y,z
48	1	a,b,c	P n n n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-x+1/2,y,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;x+1/2,-y,z+1/2;-x,y+1/2,z+1/2
48	2	a,b,c;1/4,1/4,1/4	P n n n :1	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x-1/2,-y-1/2,-z-1/2;x+1/2,y+1/2,-z-1/2;x+1/2,-y-1/2,z+1/2;-x-1/2,y+1/2,z+1/2
49	1	a,b,c	P c c m	x,y,z;-x,-y,z;-x,y,-z+1/2;x,-y,-z+1/2;-x,-y,-z;x,y,-z;x,-y,z+1/2;-x,y,z+1/2
49	2	c,a,b	P m a a	x,y,z;x,-y,-z;-x+1/2,-y,z;-x+1/2,y,-z;-x,-y,-z;-x,y,z;x+1/2,y,-z;x+1/2,-y,z
49	3	b,c,a	P b m b	x,y,z;-x,y,-z;x,-y+1/2,-z;-x,-y+1/2,z;-x,-y,-z;x,-y,z;-x,y+1/2,z;x,y+1/2,-z
50	1	a,b,c	P b a n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-x+1/2,y,-z;x,-y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;x+1/2,-y,z;-x,y+1/2,z
50	2	c,a,b	P n c b :2	x,y,z;x,-y+1/2,-z+1/2;-x,-y+1/2,z;-x,y,-z+1/2;-x,-y,-z;-x,y+1/2,z+1/2;x,y+1/2,-z;x,-y,z+1/2
50	3	b,c,a	P c n a :2	x,y,z;-x+1/2,y,-z+1/2;x,-y,-z+1/2;-x+1/2,-y,z;-x,-y,-z;x+1/2,-y,z+1/2;-x,y,z+1/2;x+1/2,y,-z
50	4	a,b,c;1/4,1/4,0	P b a n :1	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x-1/2,-y-1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y-1/2,z;-x-1/2,y+1/2,z
50	5	c,a,b;1/4,1/4,0	P n c b :1	x,y,z;x,-y,-z;-x,-y,z;-x,y,-z;-x,-y-1/2,-z-1/2;-x,y+1/2,z+1/2;x,y+1/2,-z-1/2;x,-y-1/2,z+1/2
50	6	b,c,a;1/4,1/4,0	P c n a :1	x,y,z;-x,y,-z;x,-y,-z;-x,-y,z;-x-1/2,-y,-z-1/2;x+1/2,-y,z+1/2;-x-1/2,y,z+1/2;x+1/2,y,-z-1/2
51	1	a,b,c	P m m a	x,y,z;-x+1/2,-y,z;-x,y,-z;x+1/2,-y,-z;-x,-y,-z;x+1/2,y,-z;x,-y,z;-x+1/2,y,z
51	2	b,a,-c	P m m b	x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z
51	3	c,a,b	P b m m	x,y,z;x,-y+1/2,-z;-x,-y,z;-x,y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x,y,-z;x,-y+1/2,z
51	4	-c,b,a	P c m m	x,y,z;x,-y,-z+1/2;-x,y,-z;-x,-y,z+1/2;-x,-y,-z;-x,y,z+1/2;x,-y,z;x,y,-z+1/2
51	5	b,c,a	P m c m	x,y,z;-x,y,-z+1/2;x,-y,-z;-x,-y,z+1/2;-x,-y,-z;x,-y,z+1/2;-x,y,z;x,y,-z+1/2
51	6	a,-c,b	P m a m	x,y,z;-x+1/2,y,-z;-x,-y,z;x+1/2,-y,-z;-x,-y,-z;x+1/2,-y,z;x,y,-z;-x+1/2,y,z
52	1	a,b,c	P n n a	x,y,z;-x+1/2,-y,z;-x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z;x+1/2,-y+1/2,z+1/2;-x,y+1/2,z+1/2
52	2	b,a,-c	P n n b	x,y,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z-1/2;-x+1/2,y,-z-1/2;-x,-y,-z;x,y+1/2,-z;-x+1/2,y+1/2,z-1/2;x+1/2,-y,z-1/2
52	3	c,a,b	P b n n	x,y,z;x,-y+1/2,-z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;-x,y+1/2,z;x+1/2,y+1/2,-z+1/2;x+1/2,-y,z+1/2
52	4	-c,b,a	P c n n	x,y,z;x,-y,-z+1/2;-x-1/2,y+1/2,-z+1/2;-x-1/2,-y+1/2,z;-x,-y,-z;-x,y,z+1/2;x-1/2,-y+1/2,z+1/2;x-1/2,y+1/2,-z
52	5	b,c,a	P n c n	x,y,z;-x,y,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z;-x,-y,-z;x,-y,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z
52	6	a,-c,b	P n a n	x,y,z;-x+1/2,y,-z;-x+1/2,-y-1/2,z+1/2;x,-y-1/2,-z+1/2;-x,-y,-z;x+1/2,-y,z;x+1/2,y-1/2,-z+1/2;-x,y-1/2,z+1/2
53	1	a,b,c	P m n a	x,y,z;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x,-y,-z;-x,-y,-z;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;-x,y,z
53	2	b,a,-c	P n m b	x,y,z;-x,-y+1/2,z-1/2;x,-y+1/2,-z-1/2;-x,y,-z;-x,-y,-z;x,y+1/2,-z-1/2;-x,y+1/2,z-1/2;x,-y,z
53	3	c,a,b	P b m n	x,y,z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,z;-x,y,-z;-x,-y,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x,-y,z
53	4	-c,b,a	P c n m	x,y,z;x-1/2,-y,-z+1/2;-x-1/2,y,-z+1/2;-x,-y,z;-x,-y,-z;-x-1/2,y,z+1/2;x-1/2,-y,z+1/2;x,y,-z
53	5	b,c,a	P n c m	x,y,z;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,z;-x,-y,-z;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,y,-z
53	6	a,-c,b	P m a n	x,y,z;-x+1/2,y-1/2,-z;-x+1/2,-y-1/2,z;x,-y,-z;-x,-y,-z;x+1/2,-y-1/2,z;x+1/2,y-1/2,-z;-x,y,z
54	1	a,b,c	P c c a	x,y,z;-x+1/2,-y,z;-x,y,-z+1/2;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,y,-z;x,-y,z+1/2;-x+1/2,y,z+1/2
54	2	b,a,-c	P c c b	x,y,z;-x,-y+1/2,z;x,-y,-z-1/2;-x,y+1/2,-z-1/2;-x,-y,-z;x,y+1/2,-z;-x,y,z-1/2;x,-y+1/2,z-1/2
54	3	c,a,b	P b a a	x,y,z;x,-y+1/2,-z;-x+1/2,-y,z;-x+1/2,y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y,-z;x+1/2,-y+1/2,z
54	4	-c,b,a	P c a a	x,y,z;x,-y,-z+1/2;-x-1/2,y,-z;-x-1/2,-y,z+1/2;-x,-y,-z;-x,y,z+1/2;x-1/2,-y,z;x-1/2,y,-z+1/2
54	5	b,c,a	P b c b	x,y,z;-x,y,-z+1/2;x,-y+1/2,-z;-x,-y+1/2,z+1/2;-x,-y,-z;x,-y,z+1/2;-x,y+1/2,z;x,y+1/2,-z+1/2
54	6	a,-c,b	P b a b	x,y,z;-x+1/2,y,-z;-x,-y-1/2,z;x+1/2,-y-1/2,-z;-x,-y,-z;x+1/2,-y,z;x,y-1/2,-z;-x+1/2,y-1/2,z
55	1	a,b,c	P b a m	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x,-y,-z;x,y,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
55	2	c,a,b	P m c b	x,y,z;x,-y,-z;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;-x,y,z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
55	3	b,c,a	P c m a	x,y,z;-x,y,-z;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2;-x,-y,-z;x,-y,z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
56	1	a,b,c	P c c n	x,y,z;-x+1/2,-y+1/2,z;-x,y+1/2,-z+1/2;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;x,-y+1/2,z+1/2;-x+1/2,y,z+1/2
56	2	c,a,b	P n a a	x,y,z;x,-y+1/2,-z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y+1/2,-z;-x,-y,-z;-x,y+1/2,z+1/2;x+1/2,y,-z+1/2;x+1/2,-y+1/2,z
56	3	b,c,a	P b n b	x,y,z;-x+1/2,y,-z+1/2;x+1/2,-y+1/2,-z;-x,-y+1/2,z+1/2;-x,-y,-z;x+1/2,-y,z+1/2;-x+1/2,y+1/2,z;x,y+1/2,-z+1/2
57	1	a,b,c	P b c m	x,y,z;-x,-y,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z;-x,-y,-z;x,y,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z
57	2	b,a,-c	P c a m	x,y,z;-x,-y,z-1/2;x+1/2,-y,-z-1/2;-x+1/2,y,-z;-x,-y,-z;x,y,-z-1/2;-x+1/2,y,z-1/2;x+1/2,-y,z
57	3	c,a,b	P m c a	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z+1/2;-x,y,-z+1/2;-x,-y,-z;-x+1/2,y,z;x+1/2,y,-z+1/2;x,-y,z+1/2
57	4	-c,b,a	P m a b	x,y,z;x-1/2,-y,-z;-x-1/2,y+1/2,-z;-x,-y+1/2,z;-x,-y,-z;-x-1/2,y,z;x-1/2,-y+1/2,z;x,y+1/2,-z
57	5	b,c,a	P b m a	x,y,z;-x,y+1/2,-z;x+1/2,-y+1/2,-z;-x+1/2,-y,z;-x,-y,-z;x,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,y,-z
57	6	a,-c,b	P c m b	x,y,z;-x,y-1/2,-z;-x,-y-1/2,z+1/2;x,-y,-z+1/2;-x,-y,-z;x,-y-1/2,z;x,y-1/2,-z+1/2;-x,y,z+1/2
58	1	a,b,c	P n n m	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x,-y,-z;x,y,-z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
58	2	c,a,b	P m n n	x,y,z;x,-y,-z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;-x,y,z;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
58	3	b,c,a	P n m n	x,y,z;-x,y,-z;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x,-y,-z;x,-y,z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
59	1	a,b,c	P m m n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-x,y+1/2,-z;x+1/2,-y,-z;-x,-y,-z;x+1/2,y+1/2,-z;x,-y+1/2,z;-x+1/2,y,z
59	2	c,a,b	P n m m :2	x,y,z;x,-y+1/2,-z+1/2;-x,-y,z+1/2;-x,y+1/2,-z;-x,-y,-z;-x,y+1/2,z+1/2;x,y,-z+1/2;x,-y+1/2,z
59	3	b,c,a	P m n m :2	x,y,z;-x+1/2,y,-z+1/2;x+1/2,-y,-z;-x,-y,z+1/2;-x,-y,-z;x+1/2,-y,z+1/2;-x+1/2,y,z;x,y,-z+1/2
59	4	a,b,c;1/4,1/4,0	P m m n :1	x,y,z;-x,-y,z;-x-1/2,y+1/2,-z;x+1/2,-y-1/2,-z;-x-1/2,-y-1/2,-z;x+1/2,y+1/2,-z;x,-y,z;-x,y,z
59	5	c,a,b;1/4,1/4,0	P n m m :1	x,y,z;x,-y,-z;-x,-y-1/2,z+1/2;-x,y+1/2,-z-1/2;-x,-y-1/2,-z-1/2;-x,y+1/2,z+1/2;x,y,-z;x,-y,z
59	6	b,c,a;1/4,1/4,0	P m n m :1	x,y,z;-x,y,-z;x+1/2,-y,-z-1/2;-x-1/2,-y,z+1/2;-x-1/2,-y,-z-1/2;x+1/2,-y,z+1/2;-x,y,z;x,y,-z
60	1	a,b,c	P b c n	x,y,z;-x+1/2,-y+1/2,z+1/2;-x,y,-z+1/2;x+1/2,-y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z+1/2;x,-y,z+1/2;-x+1/2,y+1/2,z
60	2	b,a,-c	P c a n	x,y,z;-x+1/2,-y+1/2,z-1/2;x,-y,-z-1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z-1/2;-x,y,z-1/2;x+1/2,-y+1/2,z
60	3	c,a,b	P n c a	x,y,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,z;-x,y+1/2,-z+1/2;-x,-y,-z;-x+1/2,y+1/2,z+1/2;x+1/2,y,-z;x,-y+1/2,z+1/2
60	4	-c,b,a	P n a b	x,y,z;x-1/2,-y+1/2,-z+1/2;-x-1/2,y,-z;-x,-y+1/2,z+1/2;-x,-y,-z;-x-1/2,y+1/2,z+1/2;x-1/2,-y,z;x,y+1/2,-z+1/2
60	5	b,c,a	P b n a	x,y,z;-x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z;-x+1/2,-y,z+1/2;-x,-y,-z;x+1/2,-y+1/2,z+1/2;-x,y+1/2,z;x+1/2,y,-z+1/2
60	6	a,-c,b	P c n b	x,y,z;-x+1/2,y-1/2,-z+1/2;-x,-y-1/2,z;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,-y-1/2,z+1/2;x,y-1/2,-z;-x+1/2,y,z+1/2
61	1	a,b,c	P b c a	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;-x,-y,-z;x+1/2,y,-z+1/2;x,-y+1/2,z+1/2;-x+1/2,y+1/2,z
61	2	b,a,-c	P c a b	x,y,z;-x,-y+1/2,z-1/2;x+1/2,-y,-z-1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x,y+1/2,-z-1/2;-x+1/2,y,z-1/2;x+1/2,-y+1/2,z
62	1	a,b,c	P n m a	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z;x+1/2,-y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;x,-y+1/2,z;-x+1/2,y+1/2,z+1/2
62	2	b,a,-c	P m n b	x,y,z;-x,-y+1/2,z-1/2;x+1/2,-y,-z;-x+1/2,y+1/2,-z-1/2;-x,-y,-z;x,y+1/2,-z-1/2;-x+1/2,y,z;x+1/2,-y+1/2,z-1/2
62	3	c,a,b	P b n m	x,y,z;x+1/2,-y+1/2,-z;-x,-y,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;-x+1/2,y+1/2,z;x,y,-z+1/2;x+1/2,-y+1/2,z+1/2
62	4	-c,b,a	P c m n	x,y,z;x-1/2,-y,-z+1/2;-x,y+1/2,-z;-x-1/2,-y+1/2,z+1/2;-x,-y,-z;-x-1/2,y,z+1/2;x,-y+1/2,z;x-1/2,y+1/2,-z+1/2
62	5	b,c,a	P m c n	x,y,z;-x,y+1/2,-z+1/2;x+1/2,-y,-z;-x+1/2,-y+1/2,z+1/2;-x,-y,-z;x,-y+1/2,z+1/2;-x+1/2,y,z;x+1/2,y+1/2,-z+1/2
62	6	a,-c,b	P n a m	x,y,z;-x+1/2,y-1/2,-z;-x,-y,z+1/2;x+1/2,-y-1/2,-z+1/2;-x,-y,-z;x+1/2,-y-1/2,z;x,y,-z+1/2;-x+1/2,y-1/2,z+1/2
