1a3w	FBP	1,6-di-O-phosphono-beta-D-fructofuranose
4gey	DMU	DECYL-BETA-D-MALTOPYRANOSIDE
4gji	RM4	beta-L-rhamnopyranose
4gji	RNS	L-RHAMNOSE
4gjj	AOS	D-ALLOSE
4gvh	0XY	5-fluoro-N-acetyl-alpha-D-glucosamine
4gyj	MUB	N-acetyl-alpha-muramic acid
4gz3	0YT	2-acetamido-2-deoxy-5-thio-beta-D-glucopyranose
4h8u	TEU	1-O-alpha-D-glucopyranosyl-D-fructose
4ha1	ISL	6-O-alpha-D-glucopyranosyl-D-fructose
4ipn	RTG	6-O-phosphono-alpha-L-idopyranose
4iw1	FUD	D-fructose
4j3v	SGD	6-thio-alpha-D-glucopyranose
4j7g	1JB	[[(2R,3S,5R)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3R,4S,5R,6R)-6-methyl-3,4,5-tris(oxidanyl)oxan-2-yl] hydrogen phosphate
4jck	TWJ	1-thio-beta-D-talopyranose
4k2m	O1G	3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-alpha-D-gluco pyranose
4kgj	IDF	5-fluoro-alpha-L-idopyranosyluronic acid fluoride
4kh2	FIF	2,6-anhydro-5-deoxy-5-fluoro-L-idonic acid
4kmb	G4S	4-O-sulfo-beta-D-galactopyranose
4kq2	1S3	(2R,3aR,5R,6S,7S,7aR)-5-(hydroxymethyl)tetrahydro-3aH-[1,3,2]dioxaphospholo[4,5-b]pyran-2,6,7-triol 2-oxide
4lr9	1X4	2,3-dideoxy-5-O-phosphono-alpha-D-ribofuranose
4m7f	BM3	2-acetamido-2-deoxy-alpha-D-mannopyranose
4m7j	KDA	prop-2-en-1-yl 3-deoxy-alpha-D-manno-oct-2-ulopyranosidonic acid
4m82	NGB	4-nitrophenyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside
4mav	RIB	alpha-D-ribofuranose
4mho	26M	N-[(biphenyl-4-yloxy)acetyl]-beta-D-glucopyranosylamine
4mhs	26Q	N-[(2E)-3-(biphenyl-4-yl)prop-2-enoyl]-beta-D-glucopyranosylamine
4mi3	26R	N-{(2R)-2-methyl-3-[4-(propan-2-yl)phenyl]propanoyl}-beta-D-glucopyranosylamine
4mi6	26V	N-[4-(5,6,7,8-tetrahydronaphthalen-2-yl)butanoyl]-beta-D-glucopyranosylamine
4mi9	26W	N-[(3R)-3-(4-ethylphenyl)butanoyl]-beta-D-glucopyranosylamine
4mic	26Y	N-{(2E)-3-[4-(propan-2-yl)phenyl]prop-2-enoyl}-beta-D-glucopyranosylamine
4mij	ADA	alpha-D-galactopyranuronic acid
4mom	2H5	3-deoxy-3-fluoro-beta-D-galactopyranose
4mos	GAF	2-deoxy-2-fluoro-alpha-D-galactopyranose
4n2r	FUB	beta-L-arabinofuranose
4ncs	FSR	(2S,3S,4R,5R,6R)-5-acetamido-2,3-bis(fluoranyl)-4-oxidanyl-6-[(1S,2S)-1,2,3-tris(oxidanyl)propyl]oxane-2-carboxylic acid
4ojt	2WP	S-ribosylhomocysteine
4ovp	MAV	alpha-D-mannopyranuronic acid
4ovw	IN1	4-(beta-D-glucopyranosyloxy)-2,2-dihydroxybutyl propanoate
4ozv	BEM	beta-D-mannopyranuronic acid
4pbg	BGP	6-O-phosphono-beta-D-galactopyranose
4pgl	LTG	L-tagatose
4ptn	GXV	L-glyceraldehyde
4q0p	0MK	beta-L-ribopyranose
4q0p	Z6J	alpha-L-ribofuranose
4q0q	QDK	L-ribulose
4q0q	RUU	alpha-L-ribulofuranose
4q0u	ROR	L-ribose
4qeh	32O	beta-L-ribofuranose
4r5a	3J4	(6S)-2,6-anhydro-6-{[(3R)-3-(sulfamoyloxy)pyrrolidin-1-yl]sulfonyl}-D-glucitol
4r75	S7P	1-C-(hydroxymethyl)-6-O-phosphono-beta-D-altrofuranose
4r9j	3LJ	2-amino-2-deoxy-6-O-sulfo-alpha-D-glucopyranose
4ra1	ALX	2-O-phosphono-alpha-D-glucopyranose
4ra1	BNX	2-O-phosphono-beta-D-glucopyranose
4s2b	44S	2-deoxy-6-O-phosphono-beta-D-lyxo-hexofuranose
4tmf	JS2	5-O-[(R)-{[(S)-[4-(8-amino-6-oxo-1,6-dihydro-9H-purin-9-yl)butoxy](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]-alpha-D- ribofuranose
4tw9	HSJ	octyl beta-L-talopyranoside
4u2z	TW7	2-deoxy-2,2-difluoro-alpha-D-arabino-hexopyranosyl fluoride
4u31	GPM	(1S)-1,5-anhydro-1-(phosphonomethyl)-D-glucitol
4u6d	3DY	3,6-anhydro-beta-L-galactopyranose
4uo1	SIA	N-acetyl-alpha-neuraminic acid
4wef	SFJ	(2R,3R,4R,5R,6R)-5-acetamido-2,3-difluoro-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]tetrahydro-2H-pyran-2-carboxylic acid
4x7r	3YW	(2S)-2,3-dihydroxypropyl 2-acetamido-2-deoxy-alpha-D-glucopyranoside
4xjr	OEL	(6R)-2,6-anhydro-3,4,5-trideoxy-6-[(2S)-2,3-dihydroxypropanoyl]-3-fluoro-5-[(2-methylpropanoyl)amino]-4-triaza-1,2-dien -2-ium-1-yl-L-gulonic acid
4y28	LMU	DODECYL-ALPHA-D-MALTOSIDE
4ytr	TGK	1-deoxy-beta-L-tagatopyranose
4yts	TGR	1-deoxy-alpha-D-xylo-hex-3-ulofuranose
4ytt	PUF	6-deoxy-alpha-L-psicofuranose
4ytu	LER	L-Erythrulose
4yz0	X0X	beta-D-talopyranuronic acid
4yz0	X1X	alpha-D-talopyranuronic acid
4ze9	4GL	alpha-D-gulopyranose
4ze9	TT7	4-O-phosphono-beta-D-fructofuranose
4zei	LAO	2-O-phosphono-alpha-L-arabinopyranose
4zek	LAH	2-O-[(R)-hydroxy(propan-2-yloxy)phosphoryl]-alpha-L-arabinopyranose
4zht	BM7	2-acetamido-2-deoxy-beta-D-mannopyranose
4zrv	U8V	6-O-butanoyl-alpha-D-glucopyranose
4zsi	4R1	2-amino-2-deoxy-6-O-phosphono-beta-D-glucopyranose
4zsi	GLP	2-amino-2-deoxy-6-O-phosphono-alpha-D-glucopyranose
4zsk	16G	2-acetamido-2-deoxy-6-O-phosphono-alpha-D-glucopyranose
4zsk	4QY	2-acetamido-2-deoxy-6-O-phosphono-beta-D-glucopyranose
4zwz	510	methyl (2S,4R)-1-[(2S,3R,4R,5S,6S)-6-(hydroxymethyl)-3,4,5-tris(oxidanyl)oxan-2-yl]sulfonyl-4-sulfamoyloxy-pyrrolidine-2-carbox ylate
5a5l	VTB	7-O-phosphono-alpha-L-galacto-hept-2-ulopyranose
5ae6	TXB	4-deoxy-4-thio-alpha-D-xylopyranose
5ao8	NM9	methyl 2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-beta-D-glucopyranoside
5b2e	MQG	2-deoxy-2-{[(S)-hydroxy(methyl)phosphoryl]amino}-beta-D-glucopyranose
5brd	BG8	2-(benzoylamino)-2-deoxy-beta-D-glucopyranose
5bre	4UZ	2-{[(benzyloxy)carbonyl]amino}-2-deoxy-beta-D-glucopyranose
5brf	4V5	2-deoxy-2-{[3-(4-hydroxyphenyl)propanoyl]amino}-alpha-D-glucopyranose
5ci5	T6T	alpha-D-tagatopyranose
5cx8	RP3	3-deoxy-5-O-phosphono-beta-D-ribofuranose
5d2a	ZDC	3,7-anhydro-2,8-dideoxy-L-glycero-D-gluco-octonic acid
5e62	5N6	9-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid
5e62	Z3Q	2-azidoethyl 2-acetamido-2-deoxy-beta-D-glucopyranoside
5e66	5KQ	(6R)-5-acetamido-6-[(1S,2S)-3-acetamido-1,2-dihydroxypropyl]-3,5-dideoxy-beta-L-threo-hex-2-ulopyranosonic acid
5e98	GNS	2-deoxy-2-(sulfoamino)-alpha-D-glucopyranose
5e9c	5KV	2-deoxy-6-O-sulfo-2-(sulfoamino)-beta-D-glucopyranose
5eo8	TFU	methyl 1-seleno-beta-L-fucopyranoside
5fr0	SIZ	2-deoxy-2-[(difluoroacetyl)amino]-beta-D-galactopyranose
5fsb	6YR	methyl 1-seleno-2-O-methyl-beta-L-fucopyranoside
5g2t	SGN	2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranose
5g2t	UAP	4-deoxy-2-O-sulfo-alpha-L-threo-hex-4-enopyranuronic acid
5g61	UEA	beta-D-sorbofuranose
5g61	ZEE	beta-L-talopyranose
5glr	XYP	beta-D-xylopyranose
5h47	FSW	methyl 6-deoxy-2-Se-methyl-2-seleno-alpha-L-galactopyranoside
5hex	604	2-[(3-bromobenzene-1-carbonyl)amino]-6-{[(4-carboxy-5-methylfuran-2-yl)sulfonyl]amino}-2,6-dideoxy-alpha-D-glucopyranos e
5ibq	XXM	3-C-(hydroxylmethyl)-alpha-D-erythrofuranose
5jil	6KL	methyl 4,5-bisacetamido-3,4,5-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
5joy	6LW	(Z)-L-Arabinonhydroximo-1,4-lactone
5jyy	6PY	5-acetamido-2,6-anhydro-4-carbamimidamido-3,4,5-trideoxy-7-O-[(2-methoxyethyl)carbamoyl]-D-glycero-D-galacto-non-2-enon ic acid
5kv8	6Y6	2,6-anhydro-3,4,5-trideoxy-4-[4-(methoxymethyl)-1H-1,2,3-triazol-1-yl]-5-[(2-methylpropanoyl)amino]-D-glycero-D-galacto -non-2-enonic acid
5kv9	I57	2,6-anhydro-3,4,5-trideoxy-5-[(2-methylpropanoyl)amino]-4-(4-phenyl-1H-1,2,3-triazol-1-yl)-D-glycero-D-galacto-non-2-en onic acid
5m3w	7D1	1,5-anhydro-2-deoxy-D-arabino-hexitol
5mc8	DGO	D-glucal
5no9	95Z	2-amino-2-deoxy-alpha-D-mannopyranose
5nx2	SOG	octyl 1-thio-beta-D-glucopyranoside
5o47	9OK	2-(3,4-dihydroxyphenyl)ethyl beta-D-fructofuranoside
5o47	9WZ	2-hydroxy-4-(2-hydroxyethyl)phenyl beta-D-fructofuranoside
5oca	TWA	2,3,4-tri-O-sulfo-beta-D-altropyranose
5oca	TWD	2,3-di-O-sulfo-alpha-L-glucopyranose
5t96	79J	4-O-acetyl-5-acetamido-3,5-dideoxy-L-glycero-alpha-D-galacto-non-2-ulopyranosonic acid
5tip	XXR	alpha-D-rhamnopyranose
5ulb	8GA	5-Se-methyl-5-seleno-alpha-D-ribofuranose
5ulb	8GG	5-Se-methyl-5-seleno-beta-D-ribofuranose
5vie	9C1	2-{[(2E)-4-chlorobut-2-enoyl]amino}-2-deoxy-beta-D-glucopyranose
5vie	9CD	2-{[(2E)-but-2-enoyl]amino}-2-deoxy-beta-D-glucopyranose
5w26	9SG	(2R,3R,5R,6R)-5-acetamido-2,3-bis(fluoranyl)-6-[(1R,2R)-1,2,3-tris(oxidanyl)propyl]oxane-2-carboxylic acid
5w26	9VP	5-acetamido-2,6-anhydro-3,4,5-trideoxy-3-fluoro-D-erythro-L-gluco-nononic acid
5w2u	9SJ	5-acetamido-2,6-anhydro-3,5,7-trideoxy-3-fluoro-D-threo-L-galacto-nononic acid
5w2u	9SM	(2R,3R,4R,5R,6S)-5-acetamido-6-[(2S)-2,3-bis(oxidanyl)propyl]-2,3-bis(fluoranyl)-4-oxidanyl-oxane-2-carboxylic acid
5w2w	9S7	5-acetamido-2,6-anhydro-3,5,8-trideoxy-3-fluoro-D-threo-L-galacto-nononic acid
5w2w	9SP	(2R,3R,4R,5R,6R)-5-acetamido-6-[(1R)-1,3-bis(oxidanyl)propyl]-2,3-bis(fluoranyl)-4-oxidanyl-oxane-2-carboxylic acid
5w2y	9T1	5-acetamido-2,6-anhydro-3,5,9-trideoxy-3-fluoro-D-erythro-L-gluco-non-4-ulosonic acid
5w2y	9T7	(2R,3R,4R,5R,6R)-5-acetamido-6-[(1R,2R)-1,2-bis(oxidanyl)propyl]-2,3-bis(fluoranyl)-4-oxidanyl-oxane-2-carboxylic acid
5xjw	1GL	2,6-dideoxy-4-O-methyl-alpha-D-galactopyranose
5xjw	2GL	4-O-acetyl-2,6-dideoxy-beta-D-galactopyranose
5xjw	ERI	3-C-methyl-4-O-acetyl-alpha-L-Olivopyranose
5yap	8S0	L-glucono-1,5-lactone
5zgb	DGD	DIGALACTOSYL DIACYL GLYCEROL (DGDG)
6ajf	L6T	alpha-D-glucopyranosyl 6-O-dodecyl-alpha-D-glucopyranoside
6b0j	DGS	3,6-anhydro-2-O-sulfo-alpha-D-galactopyranose
6br5	GYG	(1R)-4-acetamido-1,5-anhydro-3-carbamimidamido-2,3,4-trideoxy-1-sulfo-D-glycero-D-galacto-octitol
6br6	E3M	(1R)-4-acetamido-3-amino-1,5-anhydro-2,3,4-trideoxy-1-sulfo-D-glycero-D-galacto-octitol
6c0m	8LM	2,6-anhydro-3,5-dideoxy-5-[(2-methylpropanoyl)amino]-3-(4-phenyl-1H-1,2,3-triazol-1-yl)-D-glycero-D-galacto-non-2-enoni c acid
6c5j	GP1	2-amino-2-deoxy-1-O-phosphono-alpha-D-glucopyranose
6c5j	Z9M	2-amino-2-deoxy-4-O-phosphono-beta-D-glucopyranose
6caq	EUS	N-[(1R,2S,3S,4R,5S)-5-amino-4-{[(2S,3R)-3-amino-6-(aminomethyl)-3,4-dihydro-2H-pyran-2-yl]oxy}-2-{[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl]oxy}-3-hydroxycyclohexyl]methanesulfonamide
6e7h	NGC	N-glycolyl-alpha-neuraminic acid
6f5w	KG1	propadienyl 6-deoxy-alpha-L-galactopyranoside
6f9l	TUP	3-deoxy-3-fluoro-alpha-D-glucopyranose
6fzq	EEN	2-deoxy-2-[(difluoroacetyl)amino]-alpha-D-galactopyranose
6fzr	EEQ	2-deoxy-2-[(fluoroacetyl)amino]-alpha-D-galactopyranose
6g5q	EMZ	6-O-methyl-beta-D-galactopyranose
6gpb	H2P	1-deoxy-2-O-phosphono-alpha-D-gluco-hept-2-ulopyranose
6gv2	SSH	3-DEOXY-D-ARABINO-HEXONIC ACID
6gy9	KBA	2-(1H-1,2,3-triazol-1-yl)ethyl 6-deoxy-alpha-L-galactopyranoside
6hyh	GYE	beta-D-fucofuranose
6i7w	H6Q	2-O-[(R)-{[(2S)-1,1-dihydroxypropan-2-yl]oxy}(hydroxy)phosphoryl]-beta-D-glucopyranose
6i7w	H6Z	2-O-[(R)-{[(2S)-1,1-dihydroxypropan-2-yl]oxy}(hydroxy)phosphoryl]-alpha-D-glucopyranose
6jg6	U1Y	methyl 6-thio-beta-D-glucopyranoside
6jg7	U2A	methyl 2-thio-beta-D-glucopyranoside
6jqb	7SA	ACARBOSE DERIVED HEPTASACCHARIDE
6lkn	AH2	1-deoxy-alpha-D-mannopyranose
6m5e	F8X	2-amino-2-deoxy-beta-D-altropyranuronic acid
6m5e	WOO	beta-L-allopyranose
6mna	U2D	6-O-decanoyl-alpha-D-glucopyranose
6myv	GC9	2,6-anhydro-3,5-dideoxy-5-[(hydroxyacetyl)amino]-D-glycero-L-altro-non-2-enonic acid
6n1e	QIF	1-deoxy-7-O-phosphono-alpha-D-gluco-hept-2-ulopyranose
6nzk	MJJ	methyl 9-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
6ojb	X6X	2-amino-2-deoxy-alpha-D-galactopyranose
6rg2	ZB1	3-O-methyl-alpha-D-glucopyranose
6rgg	7CV	6-deoxy-2,3-di-O-methyl-alpha-L-mannopyranose
6rk2	6GR	2-(alpha-L-altropyranosyloxy)benzoic acid
6s20	NG6	2-acetamido-2-deoxy-6-O-sulfo-beta-D-galactopyranose
6sxr	KHP	4-nitrophenyl alpha-L-arabinofuranoside
6t0e	M55	benzyl alpha-D-glucopyranuronate
6t75	MAF	2-deoxy-2-fluoro-alpha-D-mannopyranose
6t9p	TGY	1-deoxy-alpha-D-tagatopyranose
6x80	P8E	5,7-diamino-3,5,7,9-tetradeoxy-L-glycero-alpha-L-manno-non-2-ulopyranosonic acid
6yq9	5QP	(1R,2R,3S,5R,6S)-2,3,5-trihydroxy-6-(hydroxymethyl)cyclohexyl alpha-D-glucopyranoside
7c3d	64K	alpha-D-arabinopyranose
7c3d	SEJ	beta-D-arabinopyranose
7dz5	HVC	alpha-D-Sorbopyranose
7dz5	SDD	D-sorbose
7exu	07Y	(2S,3R,4R,5R)-2-(hydroxymethyl)-5-(4-nitrophenoxy)oxolane-3,4-diol
7exv	08U	2-bromanyl-N-[(2S,3R,4R,5S)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]ethanamide
7exw	09X	2-bromanyl-N-[(2R,3R,4R,5S}-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]ethanamide
7fe1	5II	methyl 2-deoxy-2-methyl-alpha-D-mannopyranoside
7l16	LMO	dodecyl 6-O-alpha-D-galactopyranosyl-beta-D-glucopyranoside
7ltb	Z6G	3-ammonio-2,3,6-trideoxy-alpha-L-arabino-hexopyranose
7oj7	0H0	Carbohydrate component from a pentavalent N-acetylneuraminic acid conjugate
7omi	VKN	(1R,2S,4S,5R)-6-(hydroxymethyl)cyclohexane-1,2,3,4,5-pentol
7ozc	G6S	6-O-sulfo-beta-D-galactopyranose
7pr7	8I4	(2R,3S,5R,6R)-2,3,4,5,6-pentakis(oxidanyl)cyclohexane-1-carboxylic acid
7prt	Z61	2-deoxy-alpha-D-arabino-hexopyranose
7qee	C3G	4-nitrophenyl beta-D-glucopyranosiduronic acid
7taa	ABC	MODIFIED ACARBOSE HEXASACCHARIDE
7uf3	N3U	L-xylulose-5-phosphate
7v1w	BXX	beta-D-arabinofuranose
7vl2	BW3	(2~{S},3~{R},4~{S},5~{S},6~{R})-2-ethoxy-6-(hydroxymethyl)oxane-3,4,5-triol
7yni	KQC	(2R,3R,4R,5S,6R)-5-fluoranyl-6-(hydroxymethyl)oxane-2,3,4-triol
7zb3	IVG	D-Xylose, 4-O-beta-D-xylopyranosyl-
7zcx	YZT	6-deoxy-6-sulfo-beta-D-glucopyranose
8b4g	2HA	Dihydroxyacetone
8b87	SDY	beta-D-talopyranose
8cgt	4SG	4-thio-alpha-D-glucopyranose
8ch1	FRU	beta-D-fructofuranose
8ch1	VDF	2-O-phosphono-beta-L-arabinopyranose
8jaa	TY6	(2~{S},3~{R},4~{S},5~{S},6~{S})-6-[(2-azanylhydrazinyl)methyl]oxane-2,3,4,5-tetrol
8jq5	PSJ	D-psicose
8jq6	AFD	alpha-D-allopyranose
8p36	B6D	2,4-bisacetamido-2,4,6-trideoxy-beta-D-glucopyranose
8qqd	WT8	7-Acetamido-5-acetimidoyl-3,5,7,9-tetradeoxy-L-glycero-L-manno-nonulosonic aci
8rh5	A1H03	L-glycero-alpha-D-galacto-heptopyranose
8rh5	A1H1F	6-deoxy-6-sulfo-beta-D-galacto-heptopyranose
8wa2	GZL	beta-D-galactofuranose
8wbv	DNO	D-mannose
8wo1	GP4	2-amino-2-deoxy-4-O-phosphono-alpha-D-glucopyranose
8wo1	X6N	[(2~{R},3~{S},4~{R},5~{S})-2-(hydroxymethyl)-5-methoxy-4,6-bis(oxidanyl)oxan-3-yl] dihydrogen phosphate
8wqt	X6Z	[(2~{R},3~{S},4~{S},5~{S})-5-methoxy-3,4,6-tris(oxidanyl)oxan-2-yl]methyl dihydrogen phosphate
8wry	XIQ	2-(hydroxymethyl)-5-methoxy-3,6-bis(oxidanyl)pyran-4-one
8zd3	A1L1P	(2R,3S,4S,5S,6R)-6-[(1S)-1,2-bis(oxidanyl)ethyl]oxane-2,3,4,5-tetrol
9b4h	34V	beta-L-ribulofuranose
9b4h	A1AIO	beta-L-glucofuranose
9cgt	Z9E	1-thio-alpha-D-glucopyranose
9dff	GCD	4-deoxy-alpha-L-threo-hex-4-enopyranuronic acid
9fae	PKM	4-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid
9g3l	A1IH4	beta-L-fucopyranosyl-1H-indole-6-carboxamide
9iip	ED6	6-deoxy-1-O-phosphono-beta-L-galactopyranose
9kx8	ZCD	alpha-D-idopyranose
9nov	RRJ	4-chloro-4-deoxy-alpha-D-galactopyranose
9nov	RRY	1,6-dichloro-1,6-dideoxy-beta-D-fructofuranose
9xia	DFR	3-deoxy-3-methyl-beta-D-fructofuranose
